"Tau","","Seil Strick Trosse Reep (marit.) (fachspr.)"
"Basiszahl","","Wurzel Radix"
"den Rand betreffend","","marginal am Rand befindlich am Rand liegend"
"Geburt","","Herkunft Wurzeln (ugs.) Ursprung Elternhaus Abstammung Herkommen Provenienz Abkunft (geh.)"
"spazieren (Hauptform)","","frische Luft schnappen (einen) Bummel machen (sich) ergehen (veraltet) spazieren gehen (ein wenig) herumspazieren (sich die) Fueße vertreten umherbummeln (einen) Stadtbummel machen umhertigern (ugs.) herumschlendern wandeln lustwandeln (geh.) (einen) Spaziergang machen (sich) die Beine vertreten (einmal) an die frische Luft gehen schlendern dahintaendeln (geh.) flanieren promenieren"
"Betriebszeit","","Betriebsstunden Betriebsdauer"
"demontieren","","zersetzen aufspalten auseinandernehmen auseinanderbauen tranchieren spalten pulverisieren zerteilen aufloesen auftrennen teilen unterteilen partagieren abwracken trennen aufteilen untertrennen zersplittern zertrennen atomisieren zergliedern zerlegen zerspalten fragmentieren"
"zu Haenden","","z. Hd. fuer"
"Eiterung","","Suppuration (fachspr.)"
"Encephalitis (fachspr.)","","Enzephalitis (fachspr.) Gehirnentzuendung"
"Schutzmarke","","Firmensignet Marke (Hauptform) Signet Brand (engl.) Markenname Warenzeichen"
"innerhalb","","inmitten im Innern inwendig im Bereich"
"bleiben","","Zeit verbringen (sich) aufhalten weilen (geh.) Wurzeln schlagen (ugs., fig., ironisch) verweilen herumstehen"
"Schweinebuchte","","Schweinestall"
"zusammentreffen","","uebereinstimmen konsistent (sein) koinzidieren (fachspr.) zusammen auftreten (sich) decken zusammenfallen"
"ausbacken","","zu Ende backen"
"Bindung","","Bruecke (fig.) Verbindung Buendnis Anbindung"
"Haftkapital","","Haftung Haftvermoegen"
"Stimmenthaltung","","Enthaltung"
"bemerken","","merken beachten anmerken (gegenueber)"
"bedenken","","(sich) etwas merken an etwas denken (etwas) im Hinterkopf behalten (derb)"
"Lehrstelle","","Ausbildungsplatz"
"heruntersaebeln (ugs.)","","abscheren abrasieren wegschneiden abtrennen absaebeln (ugs.) kappen abschneiden abschnippeln (ugs.)"
"Berufung (auf)","","Heranziehung"
